,time,F3,F4,P3,P4
0,300,1.2617275782668131,-21.871480493778318,2.4536698876278997,2.088072111231098
1,301,1.0969530763324213,-21.972806371407103,2.4523449200043395,2.2214582644186214
2,302,0.9284506637052989,-22.06964819978154,2.4461362425813067,2.3547362008144748
3,303,0.7681285544922386,-22.154161610863113,2.440289500402936,2.4878314497503684
4,304,0.6273585904074714,-22.219092017632782,2.439693180233644,2.620502423160225
5,305,0.5162946411244542,-22.258249473886618,2.448593559784491,2.7522570897203797
6,306,0.44309151307132577,-22.26708877028059,2.4702040603433093,2.88217086769254
7,307,0.4136404777413335,-22.242806230656274,2.506553826184934,3.008906621509481
8,308,0.4314541010026253,-22.18434175664768,2.5584486452572617,3.1307688359970838
9,309,0.49717247326132435,-22.09278277594711,2.6252693163947347,3.2455874786244103
10,310,0.6084047454855787,-21.971451405612306,2.704902369461166,3.350733042488511
11,311,0.760278562514062,-21.82536182480101,2.793980589739329,3.4433269570457257
12,312,0.9458548752467177,-21.660911597215037,2.888109865971421,3.520333396509793
13,313,1.156158887033337,-21.485951700548043,2.9820065799479214,3.5785977595346745
14,314,1.380629195500263,-21.309383542635963,3.0698045506789864,3.615089676912892
15,315,1.6080230473048776,-21.140341732193143,3.1454325497337887,3.6271744190928987
16,316,1.8271880735939299,-20.9875944990811,3.2029525098499856,3.612748755900535
17,317,2.0277048717401445,-20.859071763575294,3.2369821400087027,3.5704450711658033
18,318,2.200491303670788,-20.761383774353167,3.243109957791363,3.4998693083708607
19,319,2.3381626515302982,-20.69956688195553,3.2180983508681567,3.4016656986938423
20,320,2.4354162444850607,-20.676803472124124,3.1601011883699526,3.2775554015006274
21,321,2.4896344250794455,-20.693887878483043,3.0689874678613096,3.1304892749943116
22,322,2.501100593926208,-20.749042246420096,2.946464844670507,2.9646534032822216
23,323,2.4726595220611873,-20.838308568836037,2.795949627782009,2.7852344051476674
24,324,2.4094963346849863,-20.95581748964104,2.6224423709236833,2.598229228745426
25,325,2.319101041426943,-21.093780677850678,2.4324024699424815,2.410319424889582
26,326,2.210789267308541,-21.242882756835094,2.2334346499436193,2.2285705599481966
27,327,2.0948611181818237,-21.393084320021647,2.0338629677971736,2.060004071097267
28,328,1.982006412393793,-21.534191744056194,1.8423574211769675,1.9113035791529946
29,329,1.8828556687998965,-21.656249633913934,1.6675408342089735,1.7885770774040937
30,330,1.8072434219186844,-21.75023173955052,1.5174533757432254,1.6969320730070079
31,331,1.7634326568996335,-21.808785741889196,1.3990350376367073,1.6400400206468069
32,332,1.7576882017652515,-21.82661141042895,1.317770490483178,1.6199556173152507
33,333,1.793968054661362,-21.80071428768532,1.2774082136789462,1.63706467175848
34,334,1.8735747517190493,-21.73070075049383,1.2797312798741247,1.6900255813239633
35,335,1.9950473966941946,-21.61882859817666,1.3244707814503978,1.7758085955354956
36,336,2.154385082546131,-21.469763264581033,1.409357647787898,1.8898813974246012
37,337,2.3454079368477534,-21.29024678839709,1.5302655496673956,2.026466161987455
38,338,2.560099463845556,-21.08875515430853,1.6814261904430827,2.1788521908969822
39,339,2.7889264685114687,-20.87511126234435,1.8557105754224887,2.339767551139863
40,340,3.021382990142307,-20.65988626162285,2.0450584506452065,2.5018237150107367
41,341,3.2469231862458363,-20.453485120519332,2.241083120838307,2.658051651342873
42,342,3.455890866716954,-20.265265849325413,2.435637133167414,2.8024197848121744
43,343,3.639938538251369,-20.103124204674298,2.621179818029696,2.930157379170624
44,344,3.7921399353343492,-19.97333998367601,2.7910714434897654,3.037894807914132
45,345,3.9073361963456397,-19.880226082186585,2.939951706427728,3.123790053032002
46,346,3.9828491453646344,-19.825503189239964,3.064192049943621,3.187793855509769
47,347,4.0190587879537585,-19.807807446865738,3.162211320293958,3.231869171164929
48,348,4.019119498380433,-19.822953283384187,3.2343648280543174,3.2597452271726164
49,349,3.9880744843221225,-19.864810688374767,3.282590594209797,3.2763104973521715
50,350,3.9325376065385225,-19.925741168557877,3.3102499838914037,3.287243385553984
