,F3for10,F4for10,P3for10,P4for10,subject,F3for15,F4for15,P3for15,P4for15,F3for18,F4for18,P3for18,P4for18
0,{0: 0.9798249487798708},{0: -21.517175340210027},{0: 2.586037998364603},{0: 3.655680157773679},{0: '3109.cnt'},{0: 3.3374085844979318},{0: -19.810171681088075},{0: -0.21751046193139098},{0: -0.2875760508383138},{0: -2.9137874845055443},{0: -24.888039225545445},{0: 0.11893724553061344},{0: -0.7402703303307968}
1,{0: -0.8164143354788888},{0: 0.7264887654172534},{0: -0.3582107681395724},{0: 0.8911220089728755},{0: '3087.cnt'},{0: -1.1063474007138214},{0: -1.6376041925080473},{0: 0.9437796172093182},{0: 1.1287658608849898},{0: -0.8357394366769673},{0: -1.185486407071843},{0: 0.6053368920431922},{0: 0.15197557749846627}
2,{0: -8.288011722530788},{0: 31.056225559153148},{0: -0.27735981653602393},{0: -0.0672493986562794},{0: '3076.cnt'},{0: 2.4739765778827727},{0: 16.338618744475713},{0: 0.016555493783615594},{0: -0.6621139429122234},{0: -5.480087362305265},{0: 24.501943131359933},{0: -0.2617513972563734},{0: -0.4200731547940565}
